id,name,year,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing
665833,"Cruz, Oneil",2025,822,0.9062844542,556,78.80644826,0.7846715328,0.321942446,0.2177615572,0.2482014388,0.1678832117,7.7619882,19,-21.80064332,266,0.3236009732,273,0.3321167883
691406,"Caminero, Junior",2025,1102,0.9069958848,851,78.58484058,0.8130671506,0.2890716804,0.22323049,0.2220916569,0.1715063521,8.420028167,21,1.922707443,251,0.2277676951,432,0.3920145191
691023,"Walker, Jordan",2025,686,0.9050131926,465,78.06925752,0.778425656,0.2666666667,0.1807580175,0.2,0.1355685131,8.258906224,21,-19.18976892,221,0.3221574344,231,0.3367346939
666176,"Adell, Jo",2025,1032,0.9028871391,779,77.61388806,0.7335271318,0.2618741977,0.1976744186,0.1912708601,0.144379845,7.728556453,30,0.5943090446,253,0.2451550388,354,0.3430232558
656941,"Schwarber, Kyle",2025,1141,0.8998422713,807,77.33769551,0.7721297108,0.322180917,0.2278702892,0.2465923172,0.1744084137,7.531078869,51,10.79699171,334,0.2927256792,385,0.3374233129
701762,"Kurtz, Nick",2025,735,0.9096534653,490,77.20437936,0.725170068,0.2918367347,0.1945578231,0.2204081633,0.1469387755,7.711152299,18,22.6908434,245,0.3333333333,243,0.3306122449
592450,"Judge, Aaron",2025,1015,0.9022222222,685,76.9921978,0.7162561576,0.3416058394,0.2305418719,0.2510948905,0.1694581281,8.109203547,35,34.13222268,330,0.3251231527,347,0.3418719212
665489,"Guerrero Jr., Vladimir",2025,934,0.912109375,740,76.66472484,0.6766595289,0.3689189189,0.2922912206,0.2554054054,0.2023554604,7.63105727,8,5.287245582,194,0.2077087794,458,0.4903640257
670242,"Wallner, Matt",2025,693,0.90234375,448,76.56715704,0.6854256854,0.2522321429,0.1630591631,0.1696428571,0.1096681097,7.422964863,21,-3.714825597,245,0.3535353535,204,0.2943722944
677594,"Rodríguez, Julio",2025,1215,0.9046909903,885,76.44671008,0.6395061728,0.3096045198,0.2255144033,0.1988700565,0.1448559671,7.675602675,19,-2.698018017,330,0.2716049383,460,0.378600823
660670,"Acuña Jr., Ronald",2025,707,0.8994910941,502,76.41426866,0.6732673267,0.280876494,0.1994342291,0.1972111554,0.1400282885,7.593044752,17,1.873019522,205,0.2899575672,226,0.3196605375
695578,"Wood, James",2025,1029,0.9018404908,721,76.04559778,0.6268221574,0.3356449376,0.2351797862,0.2274618585,0.1593780369,7.660401516,44,-1.206473262,308,0.2993197279,353,0.3430515063
575929,"Contreras, Willson",2025,926,0.9034146341,666,75.99322208,0.620950324,0.2912912913,0.2095032397,0.1831831832,0.13174946,7.962314244,14,-10.24881972,260,0.2807775378,319,0.3444924406
680718,"Barger, Addison",2025,860,0.9081309398,645,75.92957743,0.6255813953,0.3069767442,0.2302325581,0.2062015504,0.1546511628,7.657075535,7,-13.37486948,215,0.25,318,0.3697674419
663586,"Riley, Austin",2025,800,0.9019165727,577,75.88710309,0.605,0.2755632582,0.19875,0.1923743501,0.13875,7.567306888,18,-14.1676734,223,0.27875,265,0.33125
660821,"Sánchez, Jesús",2025,834,0.9065217391,626,75.85301194,0.5863309353,0.3067092652,0.2302158273,0.1853035144,0.139088729,6.920167854,14,-25.9641627,208,0.2494004796,319,0.3824940048
660271,"Ohtani, Shohei",2025,1148,0.905362776,786,75.82001676,0.6167247387,0.3625954198,0.2482578397,0.2582697201,0.1768292683,7.928157953,13,24.17383281,362,0.3153310105,387,0.3371080139
673357,"Robert Jr., Luis",2025,723,0.9026217228,518,75.61304356,0.5739972337,0.2837837838,0.2033195021,0.1640926641,0.1175656985,7.81207177,19,-14.92452536,205,0.2835408022,257,0.3554633472
