player name,WRC+,player_id,year,player_age,ab,pa,k_percent,bb_percent,on_base_percent,on_base_plus_slg,isolated_power,b_rbi,b_walkoff,xba,xslg,woba,xwoba,xobp,xiso,xbadiff,xslgdiff,wobadiff,avg_swing_speed,fast_swing_rate,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,avg_swing_length,swords,attack_angle,attack_direction,ideal_angle_rate,vertical_swing_path,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_percent,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_percent,edge_percent,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,f_strike_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent
Aaron Judge,204,592450,2024,32,559,704,24.3,18.9,0.458,1.159,0.379,144,0,0.31,0.723,0.476,0.479,0.449,0.413,0.012,-0.022,-0.003,77.1,74.8,25.8,18.4,33.8,24.2,8.2,14,14.4,-4.5,51.3,39.8,96.2,19,40.8,26.9,8.5,19.7,22.8,20.3,1.3,61,107.2004357,99.10370152,67.4,22.6,18.7,57.3,42.7,52.1,81.1,7,392,1506,659,2885,77.3,47.9,41.1,30.7,42,40.3,34.1,25.6,52.6,31.5,38.7,25.9,4.1
Aaron Judge,204,592450,2025,33,541,679,23.6,18.3,0.457,1.145,0.357,114,1,0.315,0.735,0.463,0.476,0.447,0.42,0.016,-0.047,-0.013,77,71.6,25.1,16.9,34.2,23.1,8.1,35,14.1,-6,50.8,38.4,95.4,19,39.4,24.7,9,20.9,22.9,20.6,1.5,58.2,106.8381132,98.65067612,67,24.7,22.5,61.1,38.9,52.5,78.6,6.4,400,1266,695,2631,75.3,47.5,43.1,34.6,43.7,36.3,37.1,26.5,56.9,33.5,38.4,22.4,5.7
Shohei Ohtani,172,660271,2024,29,636,731,22.2,11.1,0.39,1.036,0.336,130,2,0.314,0.66,0.431,0.442,0.396,0.347,-0.004,-0.014,-0.011,76.3,64.1,25.8,18.4,38.7,27.5,7.7,10,11.3,-1.7,51.6,35.1,95.8,16.2,37.8,21.5,9,20.7,20.9,25.7,2.3,60.1,106.7277924,98.77212236,69.7,23.1,26.6,46.1,53.9,52,79.5,6.5,448,1521,672,2838,76.9,48,42.4,29.8,47.3,43.6,32.6,23.8,61,36.3,31.3,26.9,5.4
Shohei Ohtani,172,660271,2025,30,611,727,25.7,15,0.392,1.014,0.34,102,1,0.288,0.672,0.418,0.439,0.398,0.384,-0.006,-0.05,-0.021,75.8,61.7,25.8,17.7,36.3,24.8,7.9,13,15,-2,53.1,36.9,94.9,15,35.9,23.5,8.7,17.4,19.7,28.4,2.1,58.7,106.1284595,98.27841108,66.1,24.8,26,53.1,46.7,52.6,76.1,7.2,483,1465,717,2865,75.2,47.4,43.6,33.4,45,43.2,37.8,19,59,39.7,35.7,21.1,3.5
Cal Raleigh,161,663728,2024,27,546,628,28,11.1,0.312,0.748,0.216,100,2,0.233,0.476,0.323,0.346,0.326,0.243,-0.013,-0.04,-0.023,74.5,45.1,15.9,11.3,28.5,20.2,7.8,15,16.8,-7.8,45.5,32.3,91,21.2,35.6,15.4,6.9,23.4,31.9,17.3,4.8,48.1,102.0320718,95.50878947,74,23,32.7,47.1,52.9,52.6,85.9,7,577,1223,573,2514,77,47.4,43.9,31,52.3,45.5,33.5,21,63.8,31.1,36.7,21.3,10.9
Cal Raleigh,161,663728,2025,28,596,705,26.7,13.8,0.359,0.948,0.342,125,0,0.244,0.568,0.392,0.384,0.357,0.324,0.003,0.021,0.008,75.2,54.7,17.5,12.5,27.8,19.8,7.9,30,17.9,-8.3,45.1,34.3,91.3,25.2,35.3,19.5,7.1,17.8,35.8,15.1,4.9,49.6,103.0328896,96.18009603,75,21.6,31.8,51.5,48.5,53.9,83.2,6.3,598,1409,631,2833,78.4,46.1,41.7,31.5,51.7,54.5,25.8,19.7,61.2,25.8,41.8,19.5,12.9
Juan Soto,156,665742,2024,25,576,713,16.7,18.1,0.419,0.988,0.281,109,1,0.316,0.646,0.421,0.462,0.445,0.33,-0.028,-0.077,-0.041,75.4,59.2,25.3,20.5,39.3,31.9,7.3,28,12.2,2.5,60.8,27.1,94.2,10.7,35.4,19.7,6.3,22.6,18.2,28.9,4.1,57,105.6501237,97.99470514,59,15.2,18.3,39.3,60.7,53.5,72.1,7,553,1506,694,2960,84.8,46.5,43,21.5,37.2,42.3,35.8,21.9,54.1,44.7,27.8,22.8,4.8
Juan Soto,156,665742,2025,26,577,715,19.2,17.8,0.396,0.921,0.262,105,0,0.3,0.628,0.39,0.441,0.427,0.329,-0.037,-0.103,-0.051,73.6,40.9,26.3,21.6,39.6,32.5,7,36,10.9,3.8,65.9,28.1,93.8,12,32.9,18.1,7.8,22.4,19,28.9,3.6,55.3,104.5395094,97.23261939,55.7,16.4,15.9,42.9,57.1,50.5,71,7.5,429,1560,769,2968,83.6,49.5,41.3,22.4,35.5,38.9,40.3,20.8,55.6,45.2,27.5,20.8,6.5
Kyle Schwarber,152,656941,2024,31,573,692,28.5,15.3,0.366,0.851,0.237,104,0,0.256,0.512,0.366,0.38,0.374,0.256,-0.008,-0.027,-0.014,77.5,78,23,16.5,32.5,23.3,7.7,35,13.1,-4.5,67.4,29.3,93.6,15,31.8,15.6,7.3,23.2,24.2,27.1,2.6,55.5,105.1545278,97.52984344,60.6,23.7,20.9,54.3,45.7,52.1,74.1,6.8,398,1530,723,2852,76.3,47.9,41.6,32,39.9,48.4,35.2,16.4,56.4,40.9,28.6,22.7,7.8
Kyle Schwarber,152,656941,2025,32,604,724,27.2,14.9,0.365,0.928,0.323,132,0,0.263,0.601,0.391,0.414,0.385,0.338,-0.023,-0.038,-0.023,77.3,77.3,24.7,17.5,32.2,22.8,7.5,51,14.6,-5.8,64.3,30.3,94.3,20.1,35.3,20.8,7.1,21.1,25.5,21.6,3.9,59.6,105.6786592,98.06365927,64.1,24.2,21.5,57.3,42.7,52.3,72.6,7.5,415,1498,907,3059,75.8,47.7,40.4,33.1,41.8,54.7,28.2,17.2,53.6,34.3,34.3,22.5,8.8
