player.name,player_id,year,player_age,WRC.,k_percent,isolated_power,avg_swing_speed,squared_up_contact,avg_swing_length,attack_angle,ideal_angle_rate,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,z_swing_percent,oz_swing_percent,meatball_swing_percent,whiff_percent,pull_percent,straightaway_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent
Aaron Judge,592450,2024,32,219.783572285402,24.3,0.379,77.1,33.8,8.2,14.4,51.3,96.2,19,40.8,26.9,61,67.4,18.7,81.1,30.7,40.3,34.1,25.6,31.5,38.7,25.9,4.1
Aaron Judge,592450,2025,33,204.4578695733,23.6,0.357,77,34.2,8.1,14.1,50.8,95.4,19,39.4,24.7,58.2,67,22.5,78.6,34.6,36.3,37.1,26.5,33.5,38.4,22.4,5.7
Shohei Ohtani,660271,2024,29,179.678293239456,22.2,0.336,76.3,38.7,7.7,11.3,51.6,95.8,16.2,37.8,21.5,60.1,69.7,26.6,79.5,29.8,43.6,32.6,23.8,36.3,31.3,26.9,5.4
Shohei Ohtani,660271,2025,30,172.31560456294,25.7,0.34,75.8,36.3,7.9,15,53.1,94.9,15,35.9,23.5,58.7,66.1,26,76.1,33.4,43.2,37.8,19,39.7,35.7,21.1,3.5
Cal Raleigh,663728,2024,27,117.552506848113,28,0.216,74.5,28.5,7.8,16.8,45.5,91,21.2,35.6,15.4,48.1,74,32.7,85.9,31,45.5,33.5,21,31.1,36.7,21.3,10.9
Cal Raleigh,663728,2025,28,161.114774308223,26.7,0.342,75.2,27.8,7.9,17.9,45.1,91.3,25.2,35.3,19.5,49.6,75,31.8,83.2,31.5,54.5,25.8,19.7,25.8,41.8,19.5,12.9
Juan Soto,665742,2024,25,180.990555626276,16.7,0.281,75.4,39.3,7.3,12.2,60.8,94.2,10.7,35.4,19.7,57,59,18.3,72.1,21.5,42.3,35.8,21.9,44.7,27.8,22.8,4.8
Juan Soto,665742,2025,26,155.931108141207,19.2,0.262,73.6,39.6,7,10.9,65.9,93.8,12,32.9,18.1,55.3,55.7,15.9,71,22.4,38.9,40.3,20.8,45.2,27.5,20.8,6.5
Kyle Schwarber,656941,2024,31,134.022783298882,28.5,0.237,77.5,32.5,7.7,13.1,67.4,93.6,15,31.8,15.6,55.5,60.6,20.9,74.1,32,48.4,35.2,16.4,40.9,28.6,22.7,7.8
Kyle Schwarber,656941,2025,32,152.080516407838,27.2,0.323,77.3,32.2,7.5,14.6,64.3,94.3,20.1,35.3,20.8,59.6,64.1,21.5,72.6,33.1,54.7,28.2,17.2,34.3,34.3,22.5,8.8
Ketel Marte,606466,2024,30,151.593220953671,18.2,0.268,73.7,38.1,7.6,9.1,53.6,94,9.4,33.7,12.3,53.8,71.3,26,82.7,21.3,47.4,35.9,16.7,48.9,24.8,21.4,4.9
Ketel Marte,606466,2025,31,145.287207879544,14.9,0.234,74.6,35.6,7.8,10.1,61.5,90.8,14.8,33,13.5,47,67.3,24.7,80.9,22.5,47.3,34,18.8,40.8,28.2,21.8,9.3
Pete Alonso,624413,2024,29,121.372864758245,24.7,0.219,75.2,29.6,7.3,9.8,56.3,89.8,14.4,30.5,13.2,46.4,61,25.9,72.2,24.7,41.6,32.3,26.1,42,28.2,21.1,8.6
Pete Alonso,624413,2025,30,141.208000054832,22.8,0.252,75.3,33.6,7.1,10.1,59.8,93.5,15.4,38.4,18.9,54.4,65.7,27.4,76.2,25.6,39.3,31.6,29.1,37.6,30.1,25.5,6.8
