player_name,actual_wrc_plus,predicted_wrc_plus,residual
Brenton Doyle,65,101.52272791716466,-36.52272791716466
Aaron Judge,204,168.42527231764495,35.57472768235505
Oneil Cruz,86,118.69513124398746,-32.69513124398746
Anthony Volpe,83,110.36095604959459,-27.36095604959459
Ke'Bryan Hayes,65,91.87861537983315,-26.87861537983315
Adolis García,83,107.59366566126515,-24.59366566126515
Joey Ortiz,67,91.56830703117171,-24.568307031171713
Salvador Perez,95,119.07208998075265,-24.07208998075265
Ryan McMahon,86,109.42547506587442,-23.425475065874423
Brooks Lee,81,104.39012530825836,-23.390125308258362
Brooks Lee,81,104.39012530825836,-23.390125308258362
Matt McLain,77,99.91560043217528,-22.91560043217528
Jeremy Peña,135,112.58282667975053,22.417173320249475
Otto Lopez,86,107.23344968288806,-21.233449682888065
Bo Bichette,134,112.95533061607952,21.04466938392048
Marcus Semien,89,110.00236167412795,-21.002361674127954
Michael Harris II,83,103.93137307229831,-20.931373072298314
Agustín Ramírez,91,111.01778044909769,-20.017780449097685
Ozzie Albies,87,105.87255936328884,-18.872559363288843
Ozzie Albies,87,105.87255936328884,-18.872559363288843
Freddie Freeman,139,120.31863652763792,18.68136347236208
Luis Rengifo,73,91.56394055241972,-18.563940552419723
Luis Rengifo,73,91.56394055241972,-18.563940552419723
Josh Bell,107,124.57554642989518,-17.575546429895184
Josh Bell,107,124.57554642989518,-17.575546429895184
Trea Turner,125,107.59372883776128,17.406271162238724
Jonathan India,89,105.9736616945369,-16.9736616945369
Ceddanne Rafaela,91,107.9260881384245,-16.926088138424504
Miguel Vargas,101,117.23157046611685,-16.23157046611685
Lars Nootbaar,96,112.11801097433562,-16.11801097433562
Andrew McCutchen,95,110.80881363156288,-15.808813631562884
Yainer Diaz,92,107.4016015203592,-15.401601520359193
Eric Wagaman,85,99.96860203480956,-14.968602034809564
Vladimir Guerrero Jr.,137,122.72353408615112,14.276465913848881
Mike Yastrzemski,106,120.26253492931555,-14.26253492931555
J.P. Crawford,113,99.4276852787674,13.572314721232601
Geraldo Perdomo,138,124.57462970504704,13.425370294952955
Geraldo Perdomo,138,124.57462970504704,13.425370294952955
Chase Meidroth,87,100.30885716211061,-13.308857162110613
Shohei Ohtani,172,158.86988827032025,13.130111729679754
Josh Naylor,128,115.16846663740749,12.83153336259251
Lourdes Gurriel Jr.,95,107.77566484469006,-12.775664844690056
Ryan O'Hearn,127,114.3040997466041,12.695900253395905
Jo Adell,112,124.50364684226487,-12.503646842264871
Zach McKinstry,114,101.95405155639355,12.045948443606449
Nathaniel Lowe,91,102.62521025572262,-11.625210255722621
Taylor Ward,117,128.5596331588307,-11.559633158830707
Brice Turang,124,112.47170197792303,11.528298022076967
Willy Adames,108,119.48961313416082,-11.48961313416082
Spencer Steer,97,107.65896581071986,-10.658965810719863
Pete Crow-Armstrong,109,119.5625903138272,-10.5625903138272
Mookie Betts,104,114.27706432731532,-10.277064327315315
Jackson Holliday,96,106.02341030858936,-10.023410308589362
Christian Walker,99,109.00445707364065,-10.004457073640651
Vinnie Pasquantino,116,125.79512770055103,-9.795127700551035
Yandy Díaz,135,125.30775492055761,9.692245079442387
Dansby Swanson,99,108.645889520599,-9.645889520598999
Julio Rodríguez,126,116.65245639884982,9.347543601150178
Christian Yelich,121,111.96047488448684,9.039525115513158
Gunnar Henderson,120,111.31222901098567,8.687770989014325
Cal Raleigh,161,152.38185610093015,8.61814389906985
Cal Raleigh,161,152.38185610093015,8.61814389906985
J.T. Realmuto,94,102.58823194075401,-8.588231940754014
Shea Langeliers,132,123.41591668107513,8.584083318924868
